id;country_code_digits;country_name;nationality
1;content backing up Usability;Division;Berkshire virtual
2;Solomon Islands Dollar interface Gorgeous Steel Chair;optimize Personal Loan Account;interactive
3;even-keeled Tasty Norway;wireless Soft;Savings Account
4;open-source;intuitive clear-thinking;Music Direct
5;back up cutting-edge Cotton;explicit;SMS deposit Gorgeous
6;Credit Card Account;Refined Rubber Fish;Enterprise-wide
7;Strategist Soap maximized;indexing Movies Rubber;engineer
8;Small invoice;focus group Cambridgeshire Granite;purple invoice Assurance
9;PCI;Small Cotton Chicken Rubber;Orchard Connecticut
10;Minnesota Coordinator;Vision-oriented;backing up neutral
